field1,Id,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,IsOld,NumberTimePond,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyDebt,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,MonthlyPerPerson,MonthlyBalance,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,SeriousDlqin2yrs,0 probability,1 probability
25213,25214,0,0.00147612,49,0,0,0,2940.0,2940.0,,5,,,0,2,0,0,0,0.89936,0.10064
25221,25222,0,0.408499455,32,0,1,1,0.1193251,685.8806748000001,5748,4,1437.0,4311.0,0,0,0,3,0,0.85271,0.14729
25222,25223,0,1.0469031,51,0,2,2,0.21247453800000002,3024.7875229680003,14236,12,4745.333333333333,9490.666666666668,0,1,0,2,0,0.65707,0.34293
25224,25225,1,0.0,51,0,0,0,0.09325577199999999,512.9067459999999,5500,6,5500.0,0.0,0,0,0,0,0,0.97001,0.02999
25234,25235,0,0.358557512,45,0,0,0,0.304366302,2864.6956344239998,9412,7,9412.0,0.0,0,1,0,0,0,0.95799,0.04201
25239,25240,0,0.9999998999999999,62,0,1,1,0.040359728,183.959640224,4558,1,4558.0,0.0,0,0,0,0,0,0.86979,0.13021
25242,25243,0,0.34492666299999997,46,0,0,0,0.235294118,1411.764708,6000,12,6000.0,0.0,0,0,0,0,0,0.95119,0.04881
25243,25244,0,0.015153848999999999,57,0,0,0,0.009996876,31.9900032,3200,7,3200.0,0.0,0,0,0,0,0,0.9827,0.0173
25245,25246,0,0.9999998999999999,67,0,0,0,0.38427151299999995,6532.615720999999,17000,9,17000.0,0.0,0,3,0,0,0,0.9459,0.0541
25248,25249,0,0.134306912,56,0,0,0,0.116126268,812.883876,7000,6,2333.3333333333335,4666.666666666666,0,0,0,2,0,0.96719,0.03281
25264,25265,1,0.395973154,27,0,0,0,0.265306122,636.7346928,2400,4,2400.0,0.0,0,0,0,0,0,0.91692,0.08308
25268,25269,0,0.9999998999999999,36,0,0,0,0.602982293,646.3970180959999,1072,4,536.0,536.0,0,0,0,1,0,0.79397,0.20603
25274,25275,0,0.242808307,70,0,0,0,0.28534071699999997,1854.7146604999998,6500,10,3250.0,3250.0,0,3,0,1,0,0.98074,0.01927
25289,25290,0,0.01453563,73,1,0,0,0.025046382000000002,26.974953414,1077,9,1077.0,0.0,0,0,0,0,0,0.98934,0.01066
25290,25291,1,0.858678955,61,0,8,1,0.411302585,1622.588697825,3945,7,3945.0,0.0,1,0,2,0,1,0.41586,0.58414
25291,25292,0,0.513690407,66,0,0,0,0.232389381,5251.767621219,22599,21,11299.5,11299.5,0,1,0,1,0,0.97341,0.02659
25293,25294,0,0.521165256,52,0,0,0,234.0,234.0,,1,,,0,0,0,6,0,0.74415,0.25585
25294,25295,0,0.049386155999999994,59,0,0,0,0.419872766,1385.5801278000001,3300,12,1650.0,1650.0,0,1,0,1,0,0.9788,0.0212
25295,25296,0,0.05933767400000001,54,0,0,0,0.268785047,1437.731216403,5349,22,5349.0,0.0,0,1,0,0,0,0.99084,0.00916
25296,25297,0,0.261918145,33,0,0,0,0.317574996,2021.682424536,6366,11,2122.0,4244.0,0,1,0,2,0,0.92247,0.07753
25298,25299,0,0.0,72,1,0,0,542.0,542.0,,7,,,0,1,0,0,0,0.97992,0.02008
25303,25304,0,0.040253082,52,0,0,0,2267.0,2267.0,,5,,,0,1,0,0,0,0.93494,0.06506
25306,25307,0,0.9999998999999999,54,0,0,0,0.306550456,2250.693447952,7342,2,7342.0,0.0,0,1,0,0,0,0.90076,0.09924
25317,25318,1,0.850829834,53,0,6,2,0.46501060299999997,1534.5349898999998,3300,12,3300.0,0.0,0,1,2,0,1,0.44106,0.55894
25322,25323,0,0.479315086,28,0,0,0,0.035359801,113.96463862300001,3223,2,3223.0,0.0,0,0,0,0,0,0.8986,0.1014
25323,25324,0,0.9999998999999999,21,0,0,0,106.0,106.0,,1,,,0,0,0,0,0,0.80767,0.19233
25324,25325,0,0.036316307,62,0,0,0,0.026752312,378.973251792,14166,8,7083.0,7083.0,0,0,0,1,0,0.99136,0.00864
25333,25334,0,0.156354777,33,0,0,0,0.34597116899999997,4151.654028,12000,10,6000.0,6000.0,0,2,0,1,0,0.89071,0.10929
25341,25342,0,0.05609071400000001,71,1,0,0,0.022386224,90.977614336,4064,6,4064.0,0.0,0,0,0,0,0,0.98997,0.01003
25347,25348,0,0.46244360700000003,45,0,2,2,1.520516559,7298.4794832,4800,12,4800.0,0.0,0,3,0,0,1,0.49751,0.50249
25353,25354,1,0.9658971959999999,52,0,4,2,0.5509311339999999,4407.449071999999,8000,11,8000.0,0.0,0,2,1,0,1,0.43462,0.56538
25362,25363,0,0.181892555,37,0,0,0,0.30811348899999996,618.691885912,2008,6,669.3333333333334,1338.6666666666665,0,0,0,2,0,0.93467,0.06533
25363,25364,0,0.654238081,47,0,0,0,0.547921725,3835.452075,7000,14,3500.0,3500.0,0,2,0,1,0,0.9003,0.0997
25367,25368,0,0.18509553399999998,42,0,0,0,0.404840359,3562.5951591999997,8800,10,8800.0,0.0,0,3,0,0,0,0.95865,0.04135
25371,25372,0,0.276303975,55,0,0,0,2009.0,2009.0,,3,,,0,1,0,0,0,0.93927,0.06073
25373,25374,0,0.364740237,47,0,0,0,0.39182041,3036.6081775000002,7750,12,1937.5,5812.5,0,2,0,3,0,0.92471,0.07529
25376,25377,0,0.221289122,47,0,0,0,0.368906606,3238.6310940740004,8779,4,8779.0,0.0,0,1,0,0,0,0.97056,0.02944
25383,25384,0,0.98183299,51,0,4,4,0.7352185090000001,2573.2647815000005,3500,9,1750.0,1750.0,0,0,0,1,1,0.41154,0.58846
25384,25385,0,0.379155211,31,0,0,0,0.012140689,135.987857489,11201,2,3733.6666666666665,7467.333333333334,0,0,0,2,0,0.96204,0.03796
25389,25390,0,0.578057413,30,0,1,1,532.0,532.0,,4,,,0,0,0,0,0,0.58429,0.41571
25397,25398,0,0.8766780829999999,51,0,0,0,0.250869216,2813.749126656,11216,5,5608.0,5608.0,0,0,0,1,0,0.91896,0.08104
25400,25401,0,0.166499814,38,0,0,0,2474.0,2474.0,,11,,,0,2,0,0,0,0.88399,0.11601
25403,25404,0,0.033848308,45,0,0,0,0.451854815,4518.5481500000005,10000,5,10000.0,0.0,0,2,0,0,0,0.95187,0.04813
25406,25407,0,0.05036434099999999,54,0,0,0,0.12242222,3080.87758852,25166,17,25166.0,0.0,0,1,0,0,0,0.99324,0.00676
25408,25409,0,0.103440613,35,0,0,0,1943.0,1943.0,,5,,,0,1,0,0,0,0.93122,0.06878
25424,25425,0,0.004219461,37,0,0,0,0.126584211,828.873413628,6548,8,1309.6,5238.4,0,0,0,4,0,0.94734,0.05266
25430,25431,1,0.589785164,67,0,3,0,0.647568288,971.352432,1500,9,1500.0,0.0,1,1,0,0,0,0.80211,0.19789
25440,25441,0,0.111722306,55,0,0,0,0.6927673990000001,14721.307228750002,21250,36,21250.0,0.0,0,12,0,0,0,0.94006,0.05994
25441,25442,0,0.18383267399999997,57,0,0,0,0.21900736899999998,2020.7809937629997,9227,18,9227.0,0.0,0,1,0,0,0,0.98972,0.01028
25442,25443,0,0.001886721,36,0,0,0,0.16829533100000002,464.83170422200004,2762,6,1381.0,1381.0,0,0,0,1,0,0.95243,0.04757
25443,25444,0,0.01562298,62,0,0,0,2769.0,2769.0,,23,,,0,1,0,3,0,0.96319,0.03681
25449,25450,0,0.267700027,55,0,0,0,0.43194784,1589.5680512000001,3680,15,3680.0,0.0,0,1,0,0,0,0.98384,0.01616
25450,25451,0,0.020554193999999998,78,1,0,0,0.008664741,38.9913345,4500,10,4500.0,0.0,0,0,0,0,0,0.99211,0.00789
25451,25452,0,0.890120565,43,0,0,0,0.225606854,473.7743934,2100,3,1050.0,1050.0,0,0,0,1,0,0.83883,0.16117
25458,25459,0,0.035307244,56,0,1,1,0.289535666,1720.7104630380002,5943,21,2971.5,2971.5,0,1,0,1,0,0.97965,0.02035
25461,25462,0,0.883240872,66,0,0,0,0.198779796,1400.801222412,7047,5,7047.0,0.0,0,0,0,0,0,0.97687,0.02313
25462,25463,0,0.780555447,56,0,0,0,0.590520474,3936.409479684,6666,18,6666.0,0.0,0,1,0,0,0,0.96403,0.03597
25474,25475,0,0.545961766,61,0,0,0,3347.0,3347.0,,23,,,0,1,0,0,0,0.96301,0.03699
25476,25477,0,0.009466414,46,0,0,0,8.9991E-4,8.9991,10000,2,5000.0,5000.0,0,0,0,1,0,0.97975,0.02025
25491,25492,0,0.529188155,61,0,0,0,0.331800942,2886.6681954,8700,9,8700.0,0.0,0,3,0,0,0,0.97558,0.02442
25493,25494,0,0.9999998999999999,41,0,0,0,0.277817455,1944.7221849999999,7000,7,7000.0,0.0,0,2,0,0,0,0.85927,0.14073
25497,25498,1,1.381546135,46,0,5,2,0.119017571,1225.8809813,10300,7,3433.3333333333335,6866.666666666666,1,1,0,2,1,0.39244,0.60756
25502,25503,0,0.389707353,51,0,0,0,0.36264603700000003,2296.637352321,6333,9,6333.0,0.0,0,2,0,0,0,0.92352,0.07648
25506,25507,0,0.038377351000000004,63,0,0,0,51.0,51.0,1,5,1.0,0.0,0,0,0,0,0,0.98557,0.01443
25507,25508,0,0.02930119,49,0,0,0,0.289296856,2410.710701048,8333,15,8333.0,0.0,0,1,0,0,0,0.98225,0.01775
25525,25526,0,0.223977602,61,0,0,0,0.401356901,2247.5986456,5600,9,5600.0,0.0,0,2,0,0,0,0.97898,0.02102
25526,25527,0,0.0050496759999999995,91,1,0,0,8.021389999999999E-4,2.9991977209999994,3739,3,3739.0,0.0,0,0,0,0,0,0.99228,0.00772
25528,25529,0,0.0,53,0,0,0,0.349573515,2417.65042974,6916,4,6916.0,0.0,0,2,0,0,0,0.96054,0.03946
25533,25534,0,0.030644172999999997,54,0,0,0,0.44882564700000005,2617.5511733040003,5832,14,2916.0,2916.0,0,1,0,1,0,0.98164,0.01836
25552,25553,0,0.193513326,54,0,0,0,0.436581063,2226.5634213,5100,6,1700.0,3400.0,0,1,0,2,0,0.97617,0.02383
25553,25554,1,0.9999998999999999,37,0,8,0,0.436531365,1182.563467785,2709,1,1354.5,1354.5,2,1,1,1,1,0.34503,0.65497
25554,25555,0,0.015816744,69,0,0,0,0.598343685,1444.40165559,2414,10,2414.0,0.0,0,1,0,0,0,0.97874,0.02126
25557,25558,0,0.41704239200000004,43,0,0,0,0.353052353,1867.64694737,5290,9,1763.3333333333333,3526.666666666667,0,2,0,2,0,0.86423,0.13577
25558,25559,0,0.24661207899999998,37,0,0,0,2724.0,2724.0,,16,,,0,1,0,0,0,0.92496,0.07504
25560,25561,0,0.19278923899999997,39,0,0,0,0.41001855299999995,1988.5899820499997,4850,7,1212.5,3637.5,0,1,0,3,0,0.94675,0.05325
25563,25564,0,7.64661E-4,39,0,0,0,0.362826483,3583.637172591,9877,7,3292.3333333333335,6584.666666666666,0,2,0,2,0,0.9345,0.0655
25565,25566,0,0.068390881,57,0,0,0,3234.0,3234.0,,6,,,0,1,0,0,0,0.94266,0.05734
25572,25573,0,0.154546409,52,0,0,0,0.24752337100000002,1773.752476586,7166,8,7166.0,0.0,0,1,0,0,0,0.9809,0.0191
25578,25579,0,0.995294694,55,0,0,0,2.428914217,8095.571085261,3333,13,3333.0,0.0,0,1,0,0,0,0.84094,0.15906
25588,25589,0,0.8450774609999999,39,0,2,2,0.23552284399999998,1695.7644767999998,7200,3,7200.0,0.0,0,1,0,0,0,0.63788,0.36212
25593,25594,0,0.003499924,69,0,0,0,0.216573462,1277.7834258,5900,15,1475.0,4425.0,0,1,0,3,0,0.97574,0.02426
25596,25597,0,0.031090577,61,0,0,0,0.18839335,3070.811605,16300,16,16300.0,0.0,0,3,0,0,0,0.98806,0.01194
25601,25602,0,0.29394710399999996,62,0,1,1,0.37331334299999996,746.626686,2000,7,2000.0,0.0,0,0,0,0,0,0.95873,0.04127
25609,25610,0,0.019151758,61,0,0,0,672.0,672.0,,14,,,0,4,0,0,0,0.97455,0.02545
25634,25635,0,0.0,44,0,1,1,0.681390837,4565.3186079,6700,18,3350.0,3350.0,0,3,0,1,0,0.91313,0.08687
25635,25636,0,0.8643559409999999,45,0,0,0,0.397218601,913.6027823000001,2300,8,2300.0,0.0,0,0,0,0,0,0.88826,0.11174
25644,25645,0,0.134996625,33,0,0,0,2585.0,2585.0,,10,,,0,2,0,0,0,0.83633,0.16367
25649,25650,0,0.035706676,36,0,0,0,1454.0,1454.0,,4,,,0,1,0,0,0,0.89348,0.10652
25652,25653,0,0.073545152,40,0,0,0,2232.0,2232.0,,4,,,0,1,0,1,0,0.90405,0.09595
25658,25659,1,0.025566783,79,1,1,1,0.041697915,277.95830139000003,6666,9,3333.0,3333.0,0,0,0,1,0,0.97119,0.02881
25659,25660,0,0.150214281,48,0,0,0,0.46732261399999997,5841.5326749999995,12500,8,12500.0,0.0,0,2,0,0,0,0.96587,0.03413
25666,25667,0,0.368440189,38,0,0,0,2625.0,2625.0,,5,,,0,1,0,1,0,0.86861,0.13139
25671,25672,0,0.0,44,0,0,0,0.302982178,1716.697020548,5666,7,2833.0,2833.0,0,1,0,1,0,0.89652,0.10348
25672,25673,0,0.371002629,57,0,0,0,1702.0,1702.0,,8,,,0,1,0,0,0,0.95313,0.04687
25675,25676,0,0.6964810909999999,46,0,0,0,0.267521932,2835.7324792000004,10600,6,2650.0,7950.0,0,1,0,3,0,0.89616,0.10384
25678,25679,0,0.498957324,63,0,0,0,1.333161689,2587.666838349,1941,17,1941.0,0.0,0,2,0,0,0,0.96902,0.03098
25690,25691,0,0.17349489699999998,86,1,0,0,0.04525585,175.95474480000001,3888,4,3888.0,0.0,0,0,0,0,0,0.9901,0.0099
25695,25696,0,0.003853471,46,0,0,0,71.0,,,7,,,0,0,0,0,0,0.97328,0.02672
25703,25704,0,0.005955902,89,1,0,0,0.003041825,11.9969578,3944,7,3944.0,0.0,0,0,0,0,0,0.99414,0.00586
25704,25705,0,0.588168409,53,0,0,0,1.047229791,1151.9527701,1100,17,1100.0,0.0,0,0,0,0,0,0.94531,0.05469
25717,25718,0,0.002119958,62,0,0,0,2591.0,2591.0,,11,,,0,1,0,0,0,0.95385,0.04615
25718,25719,0,0.0,54,0,0,0,0.179325843,1196.8206761820002,6674,5,6674.0,0.0,0,1,0,0,0,0.97787,0.02213
25722,25723,0,0.06272786,72,1,1,1,0.480120902,2064.5198786,4300,9,4300.0,0.0,0,2,0,0,0,0.95804,0.04196
25747,25748,0,0.070491102,63,0,0,0,3983.0,3983.0,,5,,,0,2,0,0,0,0.94133,0.05867
25748,25749,0,0.01814079,58,0,0,0,0.228461923,1370.771538,6000,5,3000.0,3000.0,0,1,0,1,0,0.98511,0.01489
25752,25753,0,0.009906861999999999,70,0,0,0,0.004499438,23.995502853999998,5333,8,2666.5,2666.5,0,0,0,1,0,0.99056,0.00944
25753,25754,0,0.258182528,31,0,0,0,0.371764706,157.628235344,424,2,424.0,0.0,0,0,0,0,0,0.91798,0.08202
25764,25765,1,0.8954435079999999,46,0,7,4,1297.0,1297.0,,6,,,1,0,0,0,1,0.34345,0.65655
25770,25771,0,0.9999998999999999,24,0,,,0.0,,,0,,,,0,,,0,0.82715,0.17285
25775,25776,0,0.023320077999999998,40,0,0,0,0.530744876,3184.469256,6000,10,6000.0,0.0,0,2,0,0,0,0.9575,0.0425
25781,25782,0,0.04128865,34,0,0,0,0.365757906,1676.634241104,4584,5,2292.0,2292.0,0,1,0,1,0,0.93255,0.06745
25782,25783,0,0.114174515,55,0,1,1,0.41406754100000004,1924.585930568,4648,15,4648.0,0.0,0,2,0,0,0,0.95984,0.04016
25785,25786,0,0.036375383,55,0,1,1,0.321286592,2666.6787136,8300,7,4150.0,4150.0,0,1,0,1,0,0.96654,0.03346
25788,25789,0,0.0,68,0,0,0,0.513970878,2611.486031118,5081,8,1693.6666666666667,3387.333333333333,0,2,0,2,0,0.97568,0.02432
25794,25795,0,0.472266576,41,0,0,0,0.536774965,2692.46322444,5016,8,1672.0,3344.0,0,1,0,2,0,0.91315,0.08685
25797,25798,0,0.09849336199999999,61,0,0,0,0.049661149,446.95034100000004,9000,4,4500.0,4500.0,0,0,0,1,0,0.97258,0.02742
25800,25801,0,0.007749539000000001,89,1,0,0,0.004482478,32.995520557999996,7361,7,7361.0,0.0,0,0,0,0,0,0.99438,0.00562
25803,25804,0,0.055622242,47,0,1,1,0.158778829,1190.8412175,7500,16,1875.0,5625.0,0,0,0,3,0,0.95128,0.04872
25805,25806,0,0.8381221390000001,41,0,0,0,0.527705061,2418.472294563,4583,6,1527.6666666666667,3055.333333333333,0,1,0,2,0,0.86928,0.13072
25811,25812,0,0.012665611,29,0,0,0,0.09598511,360.9040136,3760,3,3760.0,0.0,0,0,0,0,0,0.94196,0.05804
25822,25823,0,0.8089950029999999,31,0,0,0,0.228445271,982.771555842,4302,3,2151.0,2151.0,0,0,0,1,0,0.89071,0.10929
25823,25824,0,0.165392709,39,0,0,0,7622.0,7622.0,0,13,0.0,0.0,0,2,0,3,0,0.7804,0.2196
25826,25827,0,0.06173375,44,0,0,0,0.39090412,4288.6091005200005,10971,12,5485.5,5485.5,0,2,0,1,0,0.97675,0.02325
25827,25828,0,0.489276602,71,1,0,0,0.138686131,246.86131318,1780,4,1780.0,0.0,0,0,0,0,0,0.96969,0.03031
25842,25843,0,0.050778011,34,0,0,0,2169.0,2169.0,,5,,,0,1,0,0,0,0.90126,0.09874
25848,25849,0,0.44514064799999997,26,0,0,0,0.077444501,456.9225559,5900,5,5900.0,0.0,0,0,0,0,0,0.94199,0.05801
25849,25850,0,0.871103269,38,0,0,0,0.465320742,1428.53467794,3070,6,1535.0,1535.0,0,1,0,1,0,0.87174,0.12826
25856,25857,0,0.0,33,0,0,0,242.0,242.0,,7,,,0,0,0,0,0,0.92261,0.07739
25862,25863,0,0.26812776,43,0,0,0,0.166816082,2418.833189,14500,9,3625.0,10875.0,0,1,0,3,0,0.93552,0.06448
25880,25881,0,0.38939597,48,0,0,0,0.430679287,1546.569319617,3591,10,3591.0,0.0,0,2,0,0,0,0.92959,0.07041
25886,25887,1,0.7531442859999999,35,0,3,0,0.464697739,3020.5353035,6500,4,2166.6666666666665,4333.333333333334,1,1,0,2,0,0.5365,0.4635
25900,25901,0,0.016927361999999998,71,1,1,1,7.0,,,3,,,0,0,0,,0,0.98865,0.01135
25904,25905,0,0.003833014,73,1,0,0,0.34612557,2353.653876,6800,7,3400.0,3400.0,0,1,0,1,0,0.99211,0.00789
25905,25906,0,0.352623973,57,0,0,0,0.428401899,3248.571600117,7583,9,7583.0,0.0,0,3,0,0,0,0.96702,0.03298
25907,25908,1,0.9999998999999999,49,0,1,1,0.034975279,190.96502334,5460,3,1365.0,4095.0,0,0,0,3,0,0.59657,0.40343
25910,25911,0,0.0,58,0,0,0,1.0,,,5,,,0,0,0,0,0,0.98054,0.01946
25912,25913,0,0.9999998999999999,36,0,0,0,0.099475131,397.90052399999996,4000,5,4000.0,0.0,0,0,0,0,0,0.87018,0.12982
25918,25919,0,0.0035187440000000003,45,0,0,0,7.228569999999999E-4,4.999279012,6916,7,3458.0,3458.0,0,0,0,1,0,0.98034,0.01966
25923,25924,0,0.213049325,28,0,0,0,0.5564831720000001,2132.443515104,3832,12,1277.3333333333333,2554.666666666667,0,1,0,2,0,0.93351,0.06649
25926,25927,0,0.660311958,65,0,4,1,0.297459321,2083.702543605,7005,7,2335.0,4670.0,1,1,0,2,0,0.65171,0.34829
25927,25928,0,0.0,79,1,0,0,0.0,,,3,,,0,0,0,,0,0.99596,0.00404
25950,25951,0,0.0071920000000000005,55,0,0,0,2410.0,2410.0,,9,,,0,1,0,1,0,0.95261,0.04739
25969,25970,0,0.468125009,44,0,0,0,0.144861776,1723.8551344,11900,13,3966.6666666666665,7933.333333333334,0,0,0,2,0,0.9484,0.0516
25971,25972,1,0.900817512,33,0,0,0,0.39073164899999996,3262.60926915,8350,8,4175.0,4175.0,0,1,0,1,0,0.87835,0.12165
25977,25978,0,0.180980604,57,0,0,0,0.09468158199999999,1514.9053119999999,16000,15,5333.333333333333,10666.666666666668,0,1,0,2,0,0.98282,0.01718
25978,25979,0,0.048853201,71,1,0,0,0.611905113,4152.388096817999,6786,13,6786.0,0.0,0,2,0,0,0,0.98421,0.01579
25986,25987,0,0.16879156,56,0,0,0,1768.0,1768.0,,3,,,0,2,0,0,0,0.94996,0.05004
25987,25988,0,0.049999014,61,0,0,0,0.162837757,1367.8371588,8400,8,4200.0,4200.0,0,1,0,1,0,0.98613,0.01387
25988,25989,0,0.032728543,54,0,0,0,0.233514511,2276.76648225,9750,14,2437.5,7312.5,0,2,0,3,0,0.97982,0.02018
25990,25991,0,0.0050336140000000005,88,1,0,0,0.002765369,12.9972343,4700,13,4700.0,0.0,0,0,0,0,0,0.99387,0.00613
25992,25993,0,0.001934741,48,0,3,3,0.43952802399999996,5065.5604766,11525,18,5762.5,5762.5,0,2,0,1,0,0.76323,0.23677
25995,25996,0,0.9999998999999999,44,0,0,0,0.37606239399999997,3760.6239399999995,10000,8,3333.3333333333335,6666.666666666666,0,2,0,2,0,0.80049,0.19951
26002,26003,0,0.45510380200000006,41,0,0,0,0.22678050800000002,1088.773218908,4801,3,2400.5,2400.5,0,1,0,1,0,0.93118,0.06882
26003,26004,0,0.055264363,57,0,0,0,0.285055114,1111.7149446,3900,8,3900.0,0.0,0,0,0,0,0,0.98419,0.01581
26006,26007,0,0.485621681,45,0,0,0,0.054717324000000005,300.945282,5500,6,5500.0,0.0,0,0,0,0,0,0.90916,0.09084
26011,26012,0,0.15092269,57,0,0,0,0.27399999999999997,2602.7259999999997,9499,14,4749.5,4749.5,0,1,0,1,0,0.98245,0.01755
26015,26016,0,0.001235221,52,0,3,3,2100.0,2100.0,,9,,,0,2,0,4,1,0.47123,0.52877
26017,26018,0,0.693229524,46,0,0,0,0.518304859,2335.481694654,4506,10,4506.0,0.0,0,1,0,0,0,0.90108,0.09892
26026,26027,0,0.7268701129999999,46,0,0,0,0.235648589,1485.764353645,6305,10,2101.6666666666665,4203.333333333334,0,1,0,2,0,0.89297,0.10703
26028,26029,0,0.151313947,65,0,0,0,0.148529829,1570.851471504,10576,5,10576.0,0.0,0,1,0,0,0,0.99015,0.00985
26031,26032,1,1.07189029,53,0,5,3,1.4088920630000001,15779.591105600002,11200,17,5600.0,5600.0,0,8,1,1,1,0.43247,0.56753
26035,26036,1,0.694095823,45,0,0,0,0.554904327,3218.4450966000004,5800,25,5800.0,0.0,0,2,0,0,0,0.95511,0.04489
26036,26037,0,0.221851877,26,0,0,0,0.08518296300000001,283.91481567900007,3333,6,3333.0,0.0,0,0,0,0,0,0.92224,0.07776
26044,26045,0,0.11787352699999999,54,0,0,0,1.145553423,3579.8544468749997,3125,10,3125.0,0.0,0,2,0,0,0,0.97152,0.02848
26058,26059,0,0.44993695899999997,42,0,0,0,0.397524399,1669.6024757999999,4200,5,2100.0,2100.0,0,1,0,1,0,0.91573,0.08427
26059,26060,0,0.190127409,46,0,2,2,0.188692965,1037.8113074999999,5500,5,1833.3333333333333,3666.666666666667,0,2,0,2,0,0.84983,0.15017
26068,26069,0,0.287456825,53,0,0,0,0.203982262,2345.796013,11500,12,2875.0,8625.0,0,1,0,3,0,0.97815,0.02185
26074,26075,0,0.0,45,0,0,0,0.135716071,542.864284,4000,6,2000.0,2000.0,0,0,0,1,0,0.94873,0.05127
26075,26076,0,0.047604618,73,1,0,0,224.0,224.0,,7,,,0,0,0,0,0,0.98109,0.01891
26076,26077,0,0.888740839,41,0,0,0,0.21421770899999998,674.78578335,3150,2,1050.0,2100.0,0,1,0,2,0,0.87966,0.12034
26078,26079,0,0.951048951,21,0,0,0,0.009029345,27.9909695,3100,1,3100.0,0.0,0,0,0,0,0,0.86335,0.13665
26080,26081,0,0.810825518,45,0,4,2,0.6109422489999999,3818.3890562499996,6250,18,6250.0,0.0,0,2,1,0,1,0.49197,0.50803
26081,26082,0,0.083102545,75,1,0,0,132.0,132.0,,6,,,0,0,0,1,0,0.98011,0.01989
26082,26083,0,0.10925053400000001,37,0,0,0,0.39201857,4390.607984,11200,11,3733.3333333333335,7466.666666666666,0,3,0,2,0,0.95573,0.04427
26085,26086,0,0.011362797,56,0,0,0,943.0,943.0,,22,,,0,0,0,0,0,0.9841,0.0159
26090,26091,0,0.10078031300000001,68,0,0,0,0.008237037,277.99176171299996,33749,5,16874.5,16874.5,0,0,0,1,0,0.99449,0.00551
26092,26093,0,0.0,58,0,0,0,0.002111932,11.997885692,5681,5,5681.0,0.0,0,0,0,0,0,0.98032,0.01968
26096,26097,0,0.140410902,74,1,0,0,0.39770028700000004,3181.6022960000005,8000,8,8000.0,0.0,0,2,0,0,0,0.98746,0.01254
26099,26100,0,0.09677419400000001,49,0,0,0,0.12074937,766.87924887,6351,9,2117.0,4234.0,0,0,0,2,0,0.97275,0.02725
26103,26104,0,0.09558129900000001,39,0,0,0,2902.0,2902.0,,10,,,0,2,0,,0,0.96891,0.03109
26112,26113,0,0.690683851,55,0,0,0,0.432552146,5370.567444736001,12416,7,4138.666666666667,8277.333333333332,0,2,0,2,0,0.92012,0.07988
26115,26116,0,0.755832037,43,0,0,0,0.43434792299999997,1954.5656534999998,4500,4,4500.0,0.0,0,1,0,0,0,0.89026,0.10974
26117,26118,0,0.306656645,54,0,0,0,0.38013488700000003,1239.619866507,3261,11,1630.5,1630.5,0,1,0,1,0,0.95979,0.04021
26125,26126,0,0.055493392,61,0,0,0,0.692369867,4282.307627395,6185,17,6185.0,0.0,0,3,0,0,0,0.97355,0.02645
26128,26129,0,0.026032466,67,0,0,0,0.05286215,542.9471426499999,10271,4,10271.0,0.0,0,1,0,0,0,0.9915,0.0085
26145,26146,0,0.0,75,1,0,0,1.0,,,3,,,0,0,0,0,0,0.98906,0.01094
26155,26156,1,1.405315615,35,0,1,1,0.186026936,883.813972936,4751,4,4751.0,0.0,0,0,0,0,0,0.66563,0.33437
26164,26165,0,0.9999998999999999,67,0,0,0,0.177826122,2206.82217402,12410,7,12410.0,0.0,0,2,0,0,0,0.97011,0.02989
26165,26166,0,0.42591306799999995,28,0,0,0,0.23503876,757.76496224,3224,6,3224.0,0.0,0,0,0,0,0,0.94655,0.05345
26167,26168,0,0.38514886600000003,40,0,0,0,2183.0,2183.0,,8,,,0,3,0,1,0,0.87501,0.12499
26170,26171,0,0.341359811,47,0,0,0,0.838948038,10558.16105823,12585,17,4195.0,8390.0,0,8,0,2,0,0.80067,0.19933
26184,26185,1,0.7621922459999999,41,0,3,3,0.521344866,3736.478654622,7167,14,3583.5,3583.5,0,3,0,1,1,0.47689,0.52311
26186,26187,1,0.9999998999999999,38,0,0,0,31.0,,,0,,,0,0,0,0,0,0.81166,0.18834
26190,26191,0,0.810384398,43,0,0,0,1.5530893819999998,5176.446910205999,3333,14,3333.0,0.0,0,2,0,0,0,0.87081,0.12919
26193,26194,0,0.667666167,31,0,2,0,42.0,,,1,,,0,0,1,1,0,0.62788,0.37212
26196,26197,0,0.8395481090000001,49,0,0,0,671.0,671.0,,5,,,0,0,0,0,0,0.82889,0.17111
26201,26202,0,0.908990011,51,0,7,4,714.0,714.0,,2,,,1,0,0,1,1,0.33647,0.66353
26214,26215,0,0.431106131,71,1,0,0,0.477175898,2351.522825344,4928,8,4928.0,0.0,0,1,0,0,0,0.96795,0.03205
26216,26217,0,0.007949354,41,0,0,0,6.0,,,6,,,0,0,0,0,0,0.96998,0.03002
26229,26230,0,0.080778217,53,0,2,2,0.510051036,4896.4899456,9600,15,2400.0,7200.0,0,2,0,3,0,0.8558,0.1442
